"FirstName","LastName","Subject1","Subject2","Subject3","Subject4","Subject5","AverageMarks"
"YEvPBAJiz1","UjHu2","53","16","72","80","12","46"
"yqivajqXi3","S1AdB","76","51","51","29","8","43"
"sjrdxA8jhp","2Y6WH","70","26","10","17","88","42"
"1lBvBz2fuY","7h8sA","64","33","47","21","73","47"
"Zl1mXNn2sc","6zWJf","1","79","77","37","99","58"
"KGnBJMSV1T","4kQ9X","90","38","19","56","55","51"
"6Z2Sg89qHl","aDCg0","98","64","39","5","5","42"
"lTJofyISlW","Bf7Xs","82","93","21","13","53","52"
"SazWQkE3km","enF25","60","53","3","39","30","37"
"RDfcgXbQsA","pDITx","23","62","46","79","9","43"
"ViTtf7a70J","PnYHz","91","46","86","14","60","59"
"PWak0ePyZt","YlhIm","43","92","15","52","47","49"
"TPKauXzid3","7oCWL","82","68","35","10","23","43"
"NmBGY69Rxo","KHKNK","82","87","35","89","38","66"
"QUpA7rFBsc","07iPx","61","17","2","27","25","26"
"o4HJHbOd1Q","D8eyW","54","52","24","45","97","54"
"qF1RAxiZNo","K39Fh","33","70","62","1","34","40"
"3VQRlHbf5B","0M5p1","58","98","46","47","14","52"
"epLEr86xYQ","iWqJI","77","83","36","15","38","49"
"4Dfu9hupBp","1xR6t","4","76","96","97","56","65"
"0sXt33pjHG","uPkiH","75","54","92","74","27","64"
"B7yB2Iy18s","NoomL","61","23","23","7","98","42"
"KvisF9yikq","nf360","8","45","99","74","79","61"
"SQXmeOM5Vg","QuFJt","40","6","5","5","76","26"
"uMsdA6fXmL","GgFFp","32","61","62","33","31","43"
"ACCpEY1Ij6","NCfM8","83","2","82","52","73","58"
"I4dotguglx","1lFAu","98","42","82","10","84","63"
"8gQy9Ua6et","ftI4y","0","64","23","86","68","48"
"haq4RySD2O","yl0Ar","19","23","1","51","63","31"
"BkmUhuUcUN","o9eGy","86","46","8","66","12","43"
"EjPYI8qqfm","Ta9Im","86","53","34","56","35","52"
"f60oL8NPHp","AYJWG","5","100","10","76","24","43"
"KafprK1vgD","EznbW","50","89","93","25","55","62"
"Vjcf6NECeS","97uXF","39","49","26","29","5","29"
"mPUdPnMZ2n","WolVA","75","6","64","47","88","56"
"XWpx1u8aOL","8NEV0","13","24","9","67","22","27"
"BZLTy3CGzl","GpPmn","97","84","85","32","37","67"
"8ZhzsdvfMz","zr9f9","64","99","71","57","9","60"
"8VVmyZBt3D","u0Ulo","47","56","27","9","73","42"
"5i4TuprRKD","xzmcW","12","60","73","16","81","48"
"BQ8xfRbmJP","CM6gd","41","53","3","24","30","30"
"RENcgl5GnY","uZ0o9","37","27","29","39","67","39"
"txbqnEAIyT","YSkvD","10","56","29","23","38","31"
"MGY93kS5hk","ZS9hD","96","63","76","82","3","64"
"0o8eRH3k7l","tmv7a","70","44","19","10","91","46"
"Py94MgOIla","5s1Rb","97","70","93","41","45","69"
"8AMWfkJcsp","hZlUG","7","9","7","97","65","37"
"6ihezc3mub","gEYK4","64","65","71","43","75","63"
"ztjDu4iZD0","cfvTT","66","71","6","90","65","59"
"19RQzXdICy","hMoF4","8","58","74","3","41","36"
"rVEES0uB8J","RIjqk","46","12","43","1","20","24"
"itn5HyDW96","y9zVg","18","94","26","48","39","45"
"5Xx5OqvFMq","cBzrm","42","12","60","58","100","54"
"d0kZ9BpDM4","Jocl6","37","23","32","94","10","39"
"YIlsnnzqkO","oB7Lv","3","67","40","36","88","46"
"jB6AUucaU9","UiBQd","74","15","5","33","37","32"
"G7yhaHkAgb","97BqA","70","98","9","78","59","62"
"ADc3C3ZvcU","n9yqi","77","35","67","67","58","60"
"KlTeCSXW9n","bkVyz","39","3","33","44","34","30"
"YGRFri5x4T","OxiIT","63","38","34","82","23","48"
"x0TPNUK3Or","j5RG5","49","21","85","17","0","34"
"GfOvS4pE0Y","yUtMR","84","50","20","75","59","57"
"rPlTJGYdbC","daCqu","89","59","77","53","52","66"
"xIYDqXDOhH","9ToZY","66","54","3","53","37","42"
"fdGogDfhpu","7SllJ","78","54","77","48","52","61"
"pt5S0LL89L","xGqEM","68","92","44","81","37","64"
"lLveoXmoGV","LqXcW","68","64","46","81","41","60"
"EpOF9chAJO","fYqTN","26","41","62","41","64","46"
"0PP4fkFsQl","o3xCc","62","74","61","22","48","53"
"BIysiTRigc","HPbCF","94","45","82","30","67","63"
"iGkkpaibUb","REqoW","52","99","30","52","63","59"
"3RexiAe2gv","uOkjM","94","94","45","15","43","58"
"UJf6muUxFe","IbM2S","21","97","4","97","80","59"
"gyNrckXiNM","dxvZv","32","86","8","17","51","38"
"e1ooNtBrp3","aHVgt","67","45","36","93","35","55"
"mqOst2Qd3R","0Auzb","53","23","97","88","63","64"
"mVlQmNj0jh","mW1yu","33","25","41","45","86","46"
"J53s2nyFKt","dfuo3","24","12","87","14","7","28"
"Vy8fhrQ7KH","PyXbQ","59","13","78","22","1","34"
"GOkdDrto8B","Jz38u","84","80","20","57","10","50"
"MzxavW5LW0","F373Z","85","0","32","12","69","39"
"j0irIbX5Hk","DGbAK","98","22","87","99","27","66"
"ajcuyACbMx","A3RiF","76","66","83","31","37","58"
"q81pHHpUzI","FCBsT","96","50","23","83","6","51"
"VB108D7I8Z","IBsDi","50","76","84","63","51","64"
"SBii72Z6zE","jDbvk","93","91","16","37","59","59"
"g1rWslGUCx","ZjlLW","19","4","83","62","35","40"
"S9dRiNTal8","C39Qp","8","72","3","40","92","43"
"0kHptcXmnl","r4htd","81","76","70","61","49","67"
"ZEjxxUfYCE","2guPl","45","89","16","66","54","54"
"R18ZlYmgfz","R6g4B","22","75","23","56","19","39"
"RPBoDnmg3W","Y0EZn","97","27","11","0","98","46"
"7JeOEfjACs","iNdif","25","100","95","55","1","55"
"PbNIGHIs31","HolhX","72","6","67","38","35","43"
"3JLccGKAx1","LOA55","82","20","49","29","50","46"
"gCYzbmVtgP","W9v5i","82","53","63","89","74","72"
"xgfy13zQhp","Z4zzH","51","98","62","92","97","80"
"WfvaRKMXZU","h9bLF","16","21","57","58","33","37"
"7CZMNP2c4N","QDucv","28","51","20","95","47","48"
"OjzMWZLuvc","02Wn5","97","25","30","75","98","65"
"oUNSA1LXFM","7PL8l","7","92","97","24","68","57"
"rfVcH6Kj6F","hDFfy","0","55","68","85","42","50"
"ayqjXj1Fom","B2Y0Q","48","70","95","19","9","48"
"lKOplW1Gfi","Ix59P","82","67","82","37","38","61"
"5oK9GPMdy0","HRDKO","85","75","62","68","91","76"
"ktUIX6D4qZ","CSTmj","33","96","20","26","43","43"
"AXlky0nK4g","ZDdey","38","14","45","35","52","36"
"BFOqCUyOe0","zc2jO","69","24","95","62","5","51"
"hIJkYARZgg","vAKTe","16","47","27","37","31","31"
"5nBi3DpyZ6","62ENP","23","98","30","96","52","59"
"n0aeJpcUZM","CeKhm","19","49","49","68","36","44"
"rP9JRcY1UP","BDLu8","91","73","19","12","49","48"
"nYKWALkK8O","EqHEC","74","36","41","30","10","38"
"oIJIrCR3z6","EHIkt","54","43","34","67","30","45"
"nP9ZRmrLKN","6ndOD","76","76","96","39","24","62"
"CbrbGRWefq","HuJBz","77","85","25","34","52","54"
"Php9kcNt5R","xIlKK","8","55","52","100","22","47"
"hx3WTkmegh","xhlU1","58","95","19","87","16","55"
"fOC6HZpZa2","C5Z1t","61","98","85","73","21","67"
"V59suKrBCk","KZALR","74","31","85","35","64","57"
"GdZlBGfMTW","gb4Er","83","39","23","72","49","53"
"dgiqC2HkdS","MXSZk","52","92","26","86","30","57"
"jFqzgyq7Ks","vSo7N","23","0","31","79","41","34"
"POhmg8hEYh","CIo9z","57","46","45","97","29","54"
"a8QSQF1WrL","z2UTG","56","26","13","48","52","39"
"Fk3888IH3B","zkceq","81","54","54","48","92","65"
"mQaS0JhMr3","fhKe2","99","83","64","47","60","70"
"H1g20pPngC","JS9O8","67","16","42","55","68","49"
"sdSeQJn1GD","UAMqQ","49","11","39","53","49","40"
"HZlDcQSeDE","CKLqI","13","25","35","80","9","32"
"6ykazLYXlz","kr4GF","25","5","34","4","3","14"
"fzFIM4N15q","Kcznu","29","46","93","27","36","46"
"qegrR31Syg","fkEfU","67","44","0","72","63","49"
"ZI8XioKSos","Fk9vd","46","13","23","37","93","42"
"HchlSXeAFW","uguGy","30","100","13","97","5","49"
"R8chnUiIpM","IYk74","5","42","37","99","41","44"
"x8aVbyjXBh","ZVAXN","6","9","5","28","69","23"
"SQoGhJjn71","SJc57","67","84","41","51","29","54"
"UtnjZ3obux","2Fvh4","23","77","3","28","12","28"
"RnuqsEWWKq","bNHy2","27","70","61","49","50","51"
"QjVnM8gkMY","zeVBC","14","37","39","55","2","29"
"KJfEAEtP7R","vvZZt","21","41","42","7","79","38"
"kGHkZ0ZQ34","jhLX1","75","8","30","22","56","38"
"LN9FvycTnY","2xdri","62","31","56","53","38","48"
"9GVrgDqoBM","cucB4","34","7","38","4","73","31"
"v0ARuu0vWB","lfViU","36","69","32","39","44","44"
"eRYeLDzdKk","lsJcd","4","10","62","43","65","36"
"D6zG7yOoVj","bXfBy","58","19","71","14","32","38"
"6rc92KpIA5","iupMO","1","80","14","51","31","35"
"BEH68vREEg","lr2lE","53","61","14","53","53","46"
"rea5YFqXqE","DBZU4","38","87","100","41","59","65"
"7p6P6mv5Wr","UBgIY","23","91","98","69","2","56"
"BJF8DPjAfO","1QLyV","31","11","78","29","47","39"
"KXzOoh5kj3","dMiiF","14","94","83","84","16","58"
"VhcqHADZM2","cDpHK","88","85","96","57","71","79"
"TQ1Z4eMO5M","7c1ac","86","11","53","28","45","44"
"1PVRkxRPd4","AmQff","48","15","13","73","44","38"
"rl5tC9StjS","czYHY","59","9","39","82","97","57"
"n4k5l1CoJh","z5M7g","1","10","50","45","50","31"
"yUBiHrNu1E","jAJ2Q","84","26","83","91","5","57"
"UjTl3jkdRP","vosu1","15","92","51","89","36","56"
"d6QsdNiONp","Bnjs1","70","38","68","13","58","49"
"tvLAgMk6YB","bhnIh","27","51","21","60","2","32"
"Ypelsvxg6p","tPHNa","41","99","72","87","5","60"
"lTW6eWnb4z","SoHTj","1","7","95","18","27","29"
"uTRd4zbWPW","IRZYo","37","13","25","14","22","22"
"aCOYzu25I3","MVcSK","47","61","28","69","6","42"
"fdCr9o8LKK","p4mfC","67","74","78","7","3","45"
"RRLshDt1JW","iiEyD","46","50","47","49","10","40"
"kl71O3DyTB","nJWDv","69","47","95","47","2","52"
"DJiyKZmqeW","2WVQc","39","54","67","11","65","47"
"XeP9K6e2pq","kKDr9","50","14","62","46","57","45"
"YCV8Updz1s","2jq4q","70","17","84","8","30","41"
"IkL7UtMAXu","ZU6pD","11","90","46","8","53","41"
"dUDHm7f0ZB","iIvb4","94","57","1","98","33","56"
"0qIObkDvFp","PWprD","69","59","51","38","25","48"
"fx0cW0uhIa","QqVlW","75","1","30","8","51","33"
"Kd8hJf7yRc","a5sVP","31","44","68","41","91","55"
"94VKIn2Pdh","xyICy","61","74","91","53","89","73"
"ReXCoGZqpp","TKTi6","98","49","95","12","68","64"
"a1tf9UeN8k","KgJQz","91","97","91","66","74","83"
"oUKRfj4Qsa","M5Srq","93","75","5","4","30","41"
"alT0m2x4hB","nC2bn","66","7","78","92","69","62"
"mJuthMOpoH","vvFSO","33","84","53","31","87","57"
"jYb5A1eT52","VOJxR","17","95","69","82","72","67"
"aXEaNO6aQu","HOlAf","5","66","67","41","96","55"
"TlUJL3b0zJ","uVLTj","32","95","15","50","54","49"
"SgPqXZuH4r","jVFIl","9","41","74","59","59","48"
"n9srHzpPD0","8j6y0","9","18","55","100","72","50"
"ch6zuo72ot","S39Kh","69","77","37","1","42","45"
"bsBfRn6dTr","MZiFC","90","96","61","37","22","61"
"5XhVQ3zcjj","Hf12D","42","30","14","98","22","41"
"Bg4jdogozb","tbTmQ","55","39","93","8","52","49"
"q4yzISuj8M","fPcgl","74","38","61","71","59","60"
"86L3u7nYFZ","9pIDU","94","98","96","52","37","75"
"3yyBdk3nTv","WhIuJ","56","3","43","70","46","43"
"YWyjIJC00u","G4OCr","98","24","15","36","86","51"
"adMQ7yaMy9","Pvku6","18","57","30","52","79","47"
"g4Oa0aeOsh","69tYi","8","81","24","20","26","31"
"WbZVtU93A8","3s5bG","42","0","82","61","51","47"
"Q7qES9HBzu","zOME8","55","76","71","84","2","57"
"H2ukYQvTSR","CA0mW","73","56","44","45","65","56"
"5MrgEFjlpz","JLpRR","24","83","99","86","77","73"
"4u8tOhLO30","tIepb","94","65","36","5","20","44"
"mG08B7uFy7","hHOve","82","99","2","55","0","47"
"eo2VKJms3M","PbE1m","53","26","74","89","13","51"
"2E2d4LWcY3","DhZ6f","25","36","12","33","26","26"
"AGhRHbAotO","jpaMb","85","73","65","41","59","64"
"fhSNARl3Rj","AxnS6","23","59","26","16","60","36"
"1fyD6iyxOT","V9CQf","53","5","93","100","27","55"
"MiYjFlubq0","edDTP","94","7","26","64","74","53"
"oMQiQAVRNE","MaTVt","15","46","36","96","44","47"
"suUoZoQRWR","M5f9W","13","70","61","64","28","47"
"Mxe3obPaxN","S4LBr","80","78","26","70","6","52"
"GZT03dIEY1","8St5L","69","99","66","96","84","82"
"Q257L28BRS","TCnx0","1","83","20","54","15","34"
"4ebQrl27jV","ScQJX","75","71","60","12","95","62"
"9j9s69fxom","9Bx1q","51","0","51","59","10","34"
"ZO09lW8Xlt","A38NO","40","58","46","26","11","36"
"yxDDZjL04x","y5cbg","38","56","73","53","73","58"
"eeih5LWxgZ","qnWka","50","34","90","94","35","60"
"EFZc9zRJ9z","cULsb","91","40","19","53","37","48"
"Z5YYzfxl5s","c5TsW","91","51","70","11","13","47"
"6CaWP9eg1R","RlcoC","99","40","52","48","3","48"
"eaD65xd51k","r97AH","38","60","12","81","54","49"
"vqpv3YX4bo","tuUVc","93","50","40","15","71","53"
"JF4sQglLsC","R4U7G","81","42","56","6","98","56"
"LW2jHppzux","B3Xmi","12","9","30","19","10","16"
"BuTI62mH9Z","YDgyA","67","4","14","16","92","38"
"bSvZSvv3dR","YV8dH","78","51","76","96","55","71"
"YeYnQ7dXOB","BBUfk","80","31","33","37","39","44"
"694kdnxzDR","es25D","77","56","39","50","87","61"
"o9L5ioSCug","W61yb","71","98","43","68","26","61"
"vcB87DkIlh","fZIBQ","21","49","98","43","25","47"
"FFFSRoyQFv","WAKSR","36","7","74","15","42","34"
"L4cCGl5doQ","2K95V","50","79","99","31","76","67"
"xVOm9OZ1dF","AJe39","96","88","82","91","50","81"
"JZePkoiJLt","9Rfjq","73","63","59","74","67","67"
"sn5xa2X1oN","2EC2J","3","58","87","92","77","63"
"TJllet8T6a","tvczn","76","2","94","51","91","62"
"cBkOXxxmmq","YdmBI","16","75","37","14","30","34"
"5xKHIdg0Bj","SHkQl","48","90","29","36","42","49"
"YCQb726ks8","jy0Kj","90","87","49","58","48","66"
"VO8sFYtNlU","260aW","89","61","30","9","6","39"
"rQIa9Z9IJt","nHR5O","83","81","74","33","48","63"
"ePEprhdPE9","I7WVz","11","72","42","35","34","38"
"0RF7oC5XcY","3enfj","80","93","7","77","46","60"
"YTRxOgiK2k","9X72R","50","2","35","8","19","22"
"MUtg9zJ13Z","BrtVu","73","3","40","34","29","35"
"pSN5W9XycJ","ecgeW","30","8","1","61","62","32"
"p3X05ajdpP","aVDBN","67","63","2","71","31","46"
"ycgdpQCgJn","AKgHv","71","77","38","79","81","69"
"Q05UcrbrAg","32Iv6","80","100","60","12","36","57"
"9oolUg2ZFL","2mm0x","23","68","10","67","10","35"
"7848RH77al","fJ3O2","67","15","73","31","99","57"
"R5AHOSdV5h","XJM1L","60","32","97","76","89","70"
"psdcC7uoXm","46UHJ","97","63","10","30","71","54"
"0MICgym8k5","7G7bH","74","44","48","52","36","50"
"DeGAWZyzJ9","Fmo8i","38","65","86","89","71","69"
"u0iqXAA4GF","CGLdu","55","93","7","9","66","46"
"7HR5326Ls1","IAMvo","50","25","61","69","26","46"
"DEE6VTPM2D","Ab7zN","45","13","79","100","89","65"
"I5RCml6bxl","MvhZa","81","33","34","5","81","46"
"IjpVjk1RSW","T7jKW","93","58","52","53","88","68"
"FN4djQmQGd","THmSH","20","56","3","18","52","29"
"Yu1XrONgKK","8DQrz","58","34","4","15","99","42"
"GogRM2D3bV","y4yWQ","51","85","72","28","76","62"
"0raY4AVAai","oafhV","46","67","38","81","97","65"
"L2d9WOExi7","2ixD1","9","81","43","60","72","53"
"Q9K8nWDgcl","P7Gi4","64","48","43","25","90","54"
"Je5YEd4NON","X9ftb","41","10","15","63","14","28"
"m1nKepehpM","SI4L1","11","96","70","76","68","64"
"x17WtOk0AH","2ZVqc","6","99","79","90","8","56"
"v1ztKERMuF","FaiSv","89","26","67","68","55","61"
"Ti2R4HxI9C","YZqGp","87","24","70","7","84","54"
"Nfmp2Y0RzZ","6ZpdJ","57","17","12","79","67","46"
"GBDPzurRSD","HBj6T","87","28","41","31","69","51"
"KmWp1uAREz","oRVns","75","14","49","49","61","49"
"6s4sS2Wj7m","hzxLS","34","25","41","8","7","23"
"vj7GeEfatX","jLGSj","23","94","93","8","50","53"
"Yy6AB5hGGW","uoALe","20","34","29","92","28","40"
"MjmSj0uS7u","ceTc0","78","20","80","95","4","55"
"TWdcpIjQ6M","A9Exc","37","59","58","79","80","62"
"oYuGFOJM5C","FNd2S","89","27","85","9","60","54"
"N7eLkdy2SW","VLVnj","8","97","97","8","83","58"
"SSGZ545lga","xN5ud","79","10","92","59","10","50"
"1T8Oxnt5Ei","CyhGH","9","50","86","36","84","53"
"biqYOGbNyp","cKBaX","78","45","39","82","65","61"
"F2VHXzC0BQ","0vRhU","27","64","41","36","94","52"
"ML1QYEtiWK","RjHoI","42","34","46","37","78","47"
"WAPYqeil41","OkeY4","11","34","51","100","42","47"
"Nt6QvtraSz","VLtNt","41","54","96","39","93","64"
"ZGnq2r9W0I","sFnTZ","9","32","35","22","1","19"
"B2LZ9fqhJJ","GIQdp","92","69","38","29","60","57"
"bXTeuHBHkh","DDCjm","94","58","51","9","45","51"
"sNhAHPXbFp","i7Gyd","82","15","35","42","10","36"
"Vylgb81VV4","5WRrA","18","18","73","31","41","36"
"MS1c0D0ODq","dfA2p","31","92","59","6","6","38"
"rX5O5UpbHY","u0gJi","67","83","86","13","15","52"
"8LCfmqdp2o","VFE4q","45","90","17","65","94","62"
"bWtkrgxtoU","HH75i","73","67","52","49","12","50"
"qO7N5jpyd8","xMGv6","84","61","73","37","26","56"
"GStDnFYCWH","vYe6K","37","53","63","60","51","52"
"qeXlsVDNQf","Cpcbf","54","9","64","35","44","41"
"60VRhVJPQi","iroOi","59","37","66","39","58","51"
"JjEdsgxS8O","klNYh","79","40","62","11","19","42"
"RQOe3gY3bD","FpBZD","63","69","35","69","3","47"
"YXKW26ee6F","BSPH6","20","20","17","6","100","32"
"IN2jtOktni","Z0gMU","91","26","39","83","1","48"
"JQzosnubnx","5NvEF","49","21","73","17","26","37"
"Nbl26GK3g3","UJp6W","80","26","1","12","31","30"
"oOrEniWjzd","auZyU","88","48","49","6","89","56"
"XTefD1FsLI","Mbxvx","63","84","71","60","89","73"
"86N6Ae1CHq","ZNGkf","83","91","37","26","53","58"
"BOdetvutOT","DYUTk","44","57","46","59","93","59"
"yFYck7xCFW","vTaKm","60","31","48","18","80","47"
"W22eo02HkW","mXeyu","48","49","21","28","85","46"
"DSUb2xWtEq","6JC7f","88","1","0","28","5","24"
"dG3jNCC8HE","7x2HD","45","38","45","40","13","36"
"oUaUAeaUuR","V9UrU","53","83","54","33","72","59"
"pch9tbgaAL","UmhRY","90","84","7","35","82","59"
"13iRnVe3ap","mcFDK","3","82","12","72","1","34"
"v905XfWZrs","iXXdT","39","4","2","79","95","43"
"jtksgKSagk","70pRR","38","23","67","38","84","50"
"9DsSlzG9Vb","qOAHR","35","36","35","25","58","37"
"7foMEpphxb","OkD8O","28","50","33","57","97","53"
"xvnaOU8aRz","zg7mG","53","23","55","36","89","51"
"RKPPnocuDo","4Utqc","11","28","12","78","84","42"
"EBecC5agRd","t4ykN","69","86","47","86","49","67"
"eyqhH9pzIY","GyukD","94","72","98","31","80","75"
"jfroIN5BuQ","Om8pA","99","80","12","22","20","46"
"UJxpDv5DBS","XbFHx","43","61","74","49","17","48"
"FS85d8OCuK","pJ897","85","29","12","89","72","57"
"vRcf9VJDrB","Jh32X","60","14","1","39","95","41"
"PCPi6QfjFN","u5nN2","69","19","66","21","86","52"
"yhDpXIRyqs","t0SsE","66","18","82","67","72","61"
"cUmidxpIpk","OilF1","54","49","18","66","58","49"
"WtvijVaxxd","kdPpq","49","52","41","79","17","47"
"sW7A4vdA0E","d6fOu","44","5","23","90","76","47"
"6z8kGhmCRz","mjoHk","37","48","79","72","42","55"
"bZQcvRNtP5","DSeOo","35","10","10","83","40","35"
"4anxSgOyJQ","XjPcr","3","67","70","5","68","42"
"He9RR24tCK","VHbfN","69","27","20","63","90","53"
"UpHDaspQs8","oN4IO","33","96","23","98","41","58"
"CMg51aN5aq","mlihd","87","55","38","46","47","54"
"su3xrHAm2d","dqNpM","86","91","19","46","78","64"
"dqsffu2sYd","Ljt0P","52","29","57","31","79","49"
"hcdKak4Epk","kAX4i","36","16","93","85","97","65"
"t0zBO3dNX3","53p3s","11","20","46","11","58","29"
"UCU53a06FG","uL85H","97","58","30","59","85","65"
"mYicdhWlbU","MSFdz","30","90","10","30","67","45"
"lmJ2HzvI95","ychLf","34","14","3","64","100","43"
"4BfHLdpH8C","rliZr","5","46","68","21","61","40"
"gqS3lCEG7e","9Ocy2","41","93","45","5","97","56"
"VaVdauSd4q","04MKh","56","16","74","4","8","31"
"Uv4fzQEqIr","y8S6N","22","53","43","64","45","45"
"aM9H8cGvuL","pfdAT","43","16","72","43","63","47"
"983UIpDQ9L","0fCzA","8","98","22","68","69","53"
"aKxPvAKOEL","reb85","52","97","63","72","26","62"
"8iSOr7dmM3","cBFYL","18","82","21","12","14","29"
"rK6RJIz6NN","f9xRl","64","86","100","43","19","62"
"f5DuigTKPi","MfEbn","3","95","0","80","55","46"
"yacrQ22NqI","yhiKQ","83","65","62","71","76","71"
"sKhFzzOlr7","M3SDZ","74","47","18","48","56","48"
"Vi33Q9J9VI","XFhnh","97","42","68","53","5","53"
"l81zJCBckq","CJIqy","84","54","86","96","79","79"
"dgOvuloy42","qeTz6","98","18","31","12","3","32"
"dlZ05igzMF","MPe36","8","10","68","24","2","22"
"yZ13PIRFEU","5mGmC","81","49","57","78","6","54"
"ebuiOvcf6X","z32yT","62","79","98","81","69","77"
"yvIsIRvQRp","LMd1J","98","53","49","3","18","44"
"rD4oSP1hVj","vvQMF","27","56","29","34","96","48"
"NhuLAC6spb","8TF1R","36","28","61","95","54","54"
"5qNL38Czxu","cIgiY","1","83","28","41","17","34"
"kFrX13HWx6","hrKzn","60","57","25","84","68","58"
"vD1Z3kLyfh","xt43P","73","5","98","16","37","45"
"zdM7zZzAXt","YKjRH","15","29","31","89","82","49"
"PAfi0A4bYm","6inE4","84","13","66","67","6","47"
"V3mXpCTI4n","WMLiF","93","7","40","29","21","38"
"QCJ06D9AMT","Nb7Xc","55","10","1","91","55","42"
"R0I4DSfCFS","arqhe","13","19","70","92","21","43"
"XL9Uoqf7us","HIqCD","68","80","27","19","55","49"
"eh0fLYj6DH","P8yeb","55","35","61","73","57","56"
"oNBfyTR6Mi","zxHor","18","73","37","70","90","57"
"Vje1yQd0Tk","gFKbD","63","81","33","43","23","48"
"nHnujvT6Ou","GqJsu","17","17","59","31","32","31"
"tuCvMGxFsH","yuqLj","92","95","82","91","64","84"
"xox69aulMT","hZ7cT","81","27","95","1","98","60"
"5jznlM1m6K","TmzNq","77","19","73","62","16","49"
"Efc7XvElUY","T3K0D","29","60","46","54","93","56"
"XZm0raakcP","zWqBP","43","95","38","0","34","42"
"kB6kXDZ3rD","YZPgS","14","54","13","89","84","50"
"9q0N9cruOC","Q5Szf","84","79","83","44","91","76"
"glF9sKExYL","Z6snM","19","51","90","11","76","49"
"qBGOYp0oTQ","R2F16","74","39","49","35","88","57"
"kMGtBuU15d","GS7zk","5","62","38","35","35","35"
"qZof3UDJna","XgYce","8","71","1","60","21","32"
"olPmsI6y1n","ePxOq","14","59","89","3","34","39"
"Ajdy5TQFpZ","tXuFu","67","29","34","20","71","44"
"UOH6uW4P3l","r7iiV","38","88","1","76","92","59"
"eomUlYaJL2","azsQG","47","6","6","91","14","32"
"uFO3AZLJFK","hnMUN","4","31","94","22","20","34"
"9G5R1xGLOY","Jyqn3","37","70","58","30","97","58"
"VAHrsrg0Br","kagWl","71","78","2","30","23","40"
"ei1TW9WIYk","8sRnH","86","50","65","50","96","69"
"ATBUAIeGHK","36zXa","96","60","66","8","99","65"
"6iDgEZxLSD","TZGQo","19","43","39","47","58","41"
"2rOc3a8nKL","VCdpl","40","86","13","38","36","42"
"4myJVFPhpo","1AzPR","10","67","78","58","12","45"
"kez4GrhDVf","B1rE7","26","74","7","22","24","30"
"lopFuLLMEt","JCqc8","71","87","4","100","76","67"
"h4RshRdQCT","0TZ4S","41","43","88","18","88","55"
"SQaMsjWnbQ","1ukYV","67","97","87","96","98","89"
"IoVVmK5qzW","ZsOWf","81","49","96","63","44","66"
"HfUqOMY1eO","E5Wr9","41","31","98","5","34","41"
"o8PRiMalIA","AfqWS","49","52","93","16","33","48"
"aQ6iR9310j","39hXA","10","21","66","6","27","26"
"vJOYl1e14z","i5KmI","74","54","87","94","62","74"
"fKh0tLlPsN","oUgLI","68","52","28","90","35","54"
"ho5Zf14nJ0","5rrKh","11","53","39","65","75","48"
"yvUyNcobgA","VPeda","2","60","79","85","44","54"
"uPjv87PAx4","BJJfc","26","94","26","17","28","38"
"4TR672KYV6","FgGEi","33","81","90","9","49","52"
"dKWO616tfm","4B83E","85","10","47","40","50","46"
"JNFoWVAmGf","WFIgB","97","52","24","11","90","54"
"mu6sF8g3i3","VSOAS","6","2","32","58","94","38"
"ejIvQfX9Nu","V5Y7f","49","15","100","56","84","60"
"ppVAMk1m0W","TCpmS","40","75","92","32","20","51"
"u0E8CKYqVT","WLcX3","74","75","37","73","83","68"
"id4Qv1jyrb","nVuPF","77","39","80","97","86","75"
"bN1mjkUN4U","xBjue","0","7","27","62","45","28"
"8lnz7Gfa2l","15VjO","9","65","0","4","94","34"
"SaRJLge14L","BU7t3","72","45","94","25","13","49"
"qEsvlsyTnT","aY3br","98","17","58","7","53","46"
"BLt4Bt4GHC","RWTol","21","48","30","79","22","40"
"3HSkfgD8nq","iCkGF","8","21","29","76","53","37"
"ib2c9xicWV","oH3Ua","53","59","56","51","92","62"
"NX8zJrge96","PyHYM","32","45","30","51","32","38"
"eUpKWuFiQM","yphih","23","12","84","78","63","52"
"tnOTHdOsFg","MpVEs","95","86","76","79","20","71"
"3xvyOZoU7Z","Isxrb","72","9","33","55","2","34"
"d9gTh9SIY8","dGXnj","17","4","70","68","73","46"
"EC3jHTaTha","cJAeV","58","20","17","1","69","33"
"ESUnXypHgQ","zFBMl","2","47","85","59","18","42"
"z2rJuxCk8f","vyleR","87","44","75","46","14","53"
"N38tcvs8AF","V49lN","33","32","96","27","98","57"
"JzpY6ux0Ua","QR8c5","43","55","43","44","81","53"
"M0XyU0HanK","iWalL","17","15","92","33","75","46"
"X27jPcxj6r","qhhQb","61","8","81","73","99","64"
"cqsU797TIX","gyZSY","32","44","80","83","19","51"
"1ervZVP6c1","RWayI","2","88","99","93","98","76"
"o5iRqCZZyC","sv5kD","23","66","48","96","23","51"
"IFqY31mHzO","ctgjf","13","18","48","36","3","23"
"xKMtjVfFk2","NC7lO","78","62","63","70","81","70"
"2uNTFmxq7m","TIW69","87","67","73","86","67","76"
"lRDj4YGdcD","tCnEi","86","5","96","91","47","65"
"lzvPBp6oWY","uu70r","59","24","31","50","38","40"
